City_ID,City,Country,Datetime,Lat,Lng,Temperature,Humidity,Cloud Coverage,Wind Speed
140,broken hill,GF,2020-04-15 04:30:03,4.93,-52.33,75.2,94.0,89.0,2.24
141,peabiru,AR,2020-04-15 04:30:36,-38.0,-57.56,60.01,77.0,75.0,13.87
142,sioux lookout,KH,2020-04-15 04:33:02,10.62,104.18,86.0,70.0,40.0,8.05
143,constitucion,CN,2020-04-15 04:33:02,30.3,108.85,71.58,30.0,0.0,2.93
144,port macquarie,US,2020-04-15 04:30:33,47.5,-120.5,59.0,33.0,1.0,11.41
145,golden,AU,2020-04-15 04:33:03,-20.1,146.27,84.42,40.0,1.0,11.81
146,severo-kurilsk,NZ,2020-04-15 04:33:03,-41.8,172.33,47.82,69.0,93.0,2.15
147,port augusta,US,2020-04-15 04:33:03,40.81,-74.0,51.01,46.0,90.0,5.82
148,lagunas,MX,2020-04-15 04:33:03,16.52,-98.75,76.62,75.0,86.0,3.58
149,pitimbu,MX,2020-04-15 04:33:03,23.38,-105.38,50.9,22.0,63.0,3.83
150,moerai,CN,2020-04-15 04:33:04,47.87,88.12,54.59,36.0,85.0,5.39
151,praia,PE,2020-04-15 04:29:47,-8.12,-79.03,74.84,73.0,16.0,5.73
152,longyearbyen,ZW,2020-04-15 04:33:04,-21.05,31.67,75.09,53.0,4.0,2.82
153,mahebourg,GB,2020-04-15 04:33:04,51.03,-4.22,41.0,86.0,10.0,1.01
154,sao joao da barra,ID,2020-04-15 04:33:04,5.89,95.32,85.35,72.0,17.0,8.52
155,araouane,GH,2020-04-15 04:32:04,5.26,-0.76,80.22,87.0,24.0,7.2
156,xiangxiang,BR,2020-04-15 04:31:45,-3.41,-39.03,82.4,74.0,75.0,1.12
157,cayenne,TO,2020-04-15 04:33:05,-21.2,-175.2,80.6,78.0,20.0,5.82
158,mar del plata,AR,2020-04-15 04:33:05,-40.81,-63.0,52.66,79.0,18.0,8.63
159,kampot,CN,2020-04-15 04:23:12,42.54,129.0,59.77,28.0,44.0,6.26
160,lichuan,TR,2020-04-15 04:33:05,36.96,36.2,59.0,93.0,45.0,1.12
161,sentyabrskiy,CG,2020-04-15 04:33:06,-4.78,11.86,79.16,90.0,100.0,5.12
162,washington,PG,2020-04-15 04:33:06,-3.67,152.43,84.16,67.0,91.0,1.03
163,barawe,RU,2020-04-15 04:33:06,63.01,112.47,31.37,83.0,99.0,7.85
164,charters towers,NZ,2020-04-15 04:32:54,-43.53,172.63,54.0,57.0,36.0,11.41
165,murchison,IN,2020-04-15 04:33:07,25.52,90.22,95.4,27.0,25.0,5.86
166,fairview,RU,2020-04-15 04:33:07,66.8,65.81,33.85,89.0,100.0,5.93
167,tecoanapa,IT,2020-04-15 04:33:07,41.07,16.93,53.01,61.0,26.0,9.17
168,pueblo nuevo,MU,2020-04-15 04:33:07,-20.52,57.52,79.0,78.0,75.0,14.99
169,altay,IS,2020-04-15 04:33:07,65.68,-18.09,39.2,55.0,75.0,16.11
170,trujillo,ID,2020-04-15 04:33:07,-0.58,117.09,95.25,44.0,95.0,3.0
171,grand river south east,RE,2020-04-15 04:33:07,-21.34,55.48,78.8,83.0,75.0,18.34
172,chiredzi,MX,2020-04-15 04:33:08,19.22,-104.7,71.2,67.0,72.0,4.07
173,northam,CA,2020-04-15 04:33:08,47.67,-52.73,39.99,100.0,90.0,16.11
174,sabang,GA,2020-04-15 04:33:08,-1.22,10.58,76.17,91.0,95.0,1.43
175,mumford,IS,2020-04-15 04:33:08,63.44,-20.27,39.65,75.0,99.0,23.96
176,karkaralinsk,BI,2020-04-15 04:33:09,-3.85,29.63,62.37,54.0,98.0,0.85
177,paracuru,NZ,2020-04-15 04:33:09,-45.42,167.72,48.34,68.0,96.0,5.86
178,vaini,BR,2020-04-15 04:33:09,-9.01,-35.22,77.52,78.0,47.0,2.53
179,viedma,CL,2020-04-15 04:33:09,-41.87,-73.82,50.0,100.0,90.0,16.11
180,helong,US,2020-04-15 04:33:09,40.81,-74.19,51.01,46.0,90.0,5.82
181,macaboboni,AR,2020-04-15 04:23:15,-51.62,-69.22,37.4,86.0,8.0,4.7
182,erzin,RU,2020-04-15 04:33:10,55.44,38.59,35.6,74.0,100.0,4.47
183,pointe-noire,RU,2020-04-15 04:33:10,71.97,102.5,7.11,90.0,69.0,3.33
184,namatanai,AO,2020-04-15 04:33:10,-12.02,17.48,63.19,64.0,100.0,1.92
185,chernyshevskiy,LY,2020-04-15 04:33:10,32.95,11.87,64.44,80.0,100.0,9.84
186,christchurch,LR,2020-04-15 04:33:10,7.0,-9.47,73.36,91.0,100.0,0.81
187,tura,NU,2020-04-15 04:33:10,-19.06,-169.92,80.6,74.0,95.0,8.05
188,kharp,IS,2020-04-15 04:33:10,66.04,-17.34,39.2,55.0,75.0,16.11
189,triggiano,RU,2020-04-15 04:33:11,73.51,80.55,12.09,91.0,40.0,8.93
190,lolua,IN,2020-04-15 04:33:11,21.64,69.61,90.28,39.0,27.0,14.27
191,souillac,US,2020-04-15 04:29:18,40.13,-77.0,39.99,86.0,90.0,6.93
192,akureyri,RU,2020-04-15 04:33:11,69.3,139.9,1.6,88.0,100.0,4.43
193,loa janan,MN,2020-04-15 04:33:11,46.68,113.28,48.54,34.0,94.0,9.82
194,saint-pierre,HK,2020-04-15 04:33:11,22.29,114.16,79.0,53.0,20.0,6.93
